,L*(D65),a*(D65),b*(D65),Y(D65),550nm,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm
     1 ,24.58,-0.66,-1.48,4.28,4.26,11.47,11.47,11.47,11.47,11.47,7.17,5.06,4.31,4.20,4.30,4.45,4.54,4.59,4.59,4.54,4.48,4.42,4.36,4.31,4.21,4.16,4.13,4.11,4.10,4.09,4.07,4.09,4.09,4.11,4.15,4.20,4.26,4.34,4.46,4.46,4.46,4.46,4.46
     2 ,24.54,-0.56,-1.54,4.27,4.24,11.90,11.90,11.90,11.90,11.90,7.42,5.16,4.33,4.19,4.27,4.42,4.51,4.56,4.56,4.51,4.46,4.40,4.35,4.31,4.19,4.14,4.14,4.11,4.09,4.08,4.07,4.07,4.10,4.10,4.15,4.21,4.27,4.34,4.47,4.47,4.47,4.47,4.47
     3 ,8.38,-0.54,-2.98,0.93,0.89,7.03,7.03,7.03,7.03,7.03,3.19,1.43,0.88,0.86,0.97,1.08,1.15,1.18,1.16,1.10,1.04,1.00,0.95,0.92,0.87,0.84,0.84,0.82,0.84,0.82,0.81,0.85,0.86,0.91,0.98,1.03,1.13,1.25,1.41,1.41,1.41,1.41,1.41
     4 ,8.23,-0.34,-2.95,0.91,0.88,7.18,7.18,7.18,7.18,7.18,3.29,1.47,0.88,0.83,0.92,1.05,1.11,1.14,1.11,1.07,1.03,0.97,0.93,0.91,0.85,0.82,0.82,0.81,0.82,0.81,0.82,0.84,0.87,0.92,0.97,1.06,1.15,1.26,1.42,1.42,1.42,1.42,1.42
     5 ,8.21,-0.00,-2.79,0.91,0.87,6.96,6.96,6.96,6.96,6.96,3.18,1.44,0.87,0.82,0.92,1.04,1.10,1.13,1.09,1.05,1.01,0.96,0.91,0.89,0.85,0.83,0.83,0.82,0.84,0.84,0.85,0.86,0.89,0.93,1.00,1.07,1.18,1.28,1.46,1.46,1.46,1.46,1.46
     6 ,8.37,-0.61,-3.07,0.93,0.90,7.03,7.03,7.03,7.03,7.03,3.18,1.41,0.87,0.87,0.97,1.09,1.18,1.19,1.16,1.11,1.05,1.00,0.94,0.91,0.86,0.84,0.83,0.82,0.83,0.82,0.82,0.82,0.85,0.88,0.97,1.03,1.13,1.23,1.38,1.38,1.38,1.38,1.38
     7 ,8.18,-0.08,-2.88,0.91,0.87,6.98,6.98,6.98,6.98,6.98,3.18,1.43,0.87,0.83,0.93,1.05,1.10,1.11,1.10,1.06,1.00,0.96,0.92,0.88,0.85,0.82,0.83,0.83,0.82,0.82,0.82,0.86,0.89,0.93,0.97,1.06,1.17,1.28,1.45,1.45,1.45,1.45,1.45
     8 ,8.41,-0.72,-2.90,0.93,0.90,6.85,6.85,6.85,6.85,6.85,3.09,1.38,0.86,0.85,0.97,1.11,1.17,1.19,1.18,1.10,1.06,1.00,0.95,0.92,0.88,0.84,0.83,0.83,0.82,0.82,0.83,0.83,0.86,0.90,0.97,1.04,1.14,1.25,1.40,1.40,1.40,1.40,1.40
     9 ,8.20,-0.41,-2.91,0.91,0.88,7.02,7.02,7.02,7.02,7.02,3.19,1.42,0.86,0.82,0.93,1.05,1.13,1.16,1.13,1.07,1.02,0.96,0.91,0.90,0.85,0.83,0.82,0.82,0.82,0.81,0.80,0.82,0.86,0.90,0.96,1.05,1.15,1.26,1.43,1.43,1.43,1.43,1.43
    10 ,8.17,-0.22,-2.83,0.90,0.86,6.83,6.83,6.83,6.83,6.83,3.10,1.40,0.86,0.83,0.93,1.05,1.10,1.13,1.11,1.07,1.01,0.95,0.91,0.89,0.84,0.84,0.83,0.82,0.82,0.82,0.82,0.83,0.86,0.92,0.98,1.07,1.17,1.29,1.46,1.46,1.46,1.46,1.46
